2024-04-21 17:51:31.467: Tri-GFN(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=20, bias=True)
    (dec_1): Linear(in_features=20, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gcn_1): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_2): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_3): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gcn_4): GCNLayer(
    (conv): TransformerConv(2000, 20, heads=1)
  )
  (gcn_fc): GCNLayer(
    (conv): TransformerConv(20, 4, heads=1)
  )
  (gcn_5): GCNLayer(
    (conv): TransformerConv(20, 2000, heads=1)
  )
  (gcn_6): GCNLayer(
    (conv): TransformerConv(2000, 500, heads=1)
  )
  (gcn_7): GCNLayer(
    (conv): TransformerConv(500, 500, heads=1)
  )
  (gcn_8): GCNLayer(
    (conv): TransformerConv(500, 2000, heads=1)
  )
  (gnn_1): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_2): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_3): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (gnn_4): GCNLayer(
    (conv): GCNConv(2000, 20)
  )
  (gae_fc): GCNLayer(
    (conv): GCNConv(20, 4)
  )
  (gnn_5): GCNLayer(
    (conv): GCNConv(20, 2000)
  )
  (gnn_6): GCNLayer(
    (conv): GCNConv(2000, 500)
  )
  (gnn_7): GCNLayer(
    (conv): GCNConv(500, 500)
  )
  (gnn_8): GCNLayer(
    (conv): GCNConv(500, 2000)
  )
  (s): Sigmoid()
)
2024-04-21 17:51:31.468: Namespace(name='reut', cuda=True, n_z=20, alpha=0.1, beta=0.05, lr=0.0001, n_clusters=4, n_input=2000)
2024-04-21 17:51:31.468: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 17:52:19.210: epoch122 Q1:	0.8135	0.5491	0.6335	0.7300
2024-04-21 17:52:19.526: epoch123 Q1:	0.8135	0.5492	0.6334	0.7300
2024-04-21 17:52:19.844: epoch124 Q1:	0.8136	0.5497	0.6339	0.7299
2024-04-21 17:52:20.163: epoch125 Q1:	0.8136	0.5497	0.6339	0.7299
2024-04-21 17:52:20.480: epoch126 Q1:	0.8136	0.5497	0.6339	0.7299
2024-04-21 17:52:20.797: epoch127 Q1:	0.8137	0.5499	0.6339	0.7302
2024-04-21 17:52:21.112: epoch128 Q1:	0.8138	0.5502	0.6341	0.7303
2024-04-21 17:52:21.429: epoch129 Q1:	0.8138	0.5503	0.6343	0.7303
2024-04-21 17:52:21.747: epoch130 Q1:	0.8137	0.5503	0.6342	0.7301
2024-04-21 17:52:22.064: epoch131 Q1:	0.8137	0.5501	0.6342	0.7301
2024-04-21 17:52:22.381: epoch132 Q1:	0.8137	0.5501	0.6342	0.7301
2024-04-21 17:52:22.698: epoch133 Q1:	0.8139	0.5507	0.6348	0.7303
2024-04-21 17:52:23.112: epoch134 Q1:	0.8141	0.5510	0.6352	0.7304
2024-04-21 17:52:23.530: epoch135 Q1:	0.8142	0.5510	0.6354	0.7305
2024-04-21 17:52:23.944: epoch136 Q1:	0.8141	0.5508	0.6351	0.7305
2024-04-21 17:52:24.263: epoch137 Q1:	0.8141	0.5508	0.6351	0.7305
2024-04-21 17:52:24.580: epoch138 Q1:	0.8141	0.5508	0.6351	0.7305
2024-04-21 17:52:24.895: epoch139 Q1:	0.8145	0.5516	0.6361	0.7308
2024-04-21 17:52:25.312: epoch140 Q1:	0.8145	0.5516	0.6361	0.7308
2024-04-21 17:52:25.728: epoch141 Q1:	0.8146	0.5517	0.6362	0.7309
2024-04-21 17:52:26.141: epoch142 Q1:	0.8144	0.5514	0.6357	0.7307
2024-04-21 17:52:26.458: epoch143 Q1:	0.8143	0.5511	0.6354	0.7307
2024-04-21 17:52:26.775: epoch144 Q1:	0.8144	0.5514	0.6357	0.7307
2024-04-21 17:52:27.090: epoch145 Q1:	0.8143	0.5511	0.6354	0.7307
2024-04-21 17:52:27.407: epoch146 Q1:	0.8143	0.5509	0.6354	0.7306
2024-04-21 17:52:27.725: epoch147 Q1:	0.8144	0.5510	0.6355	0.7308
2024-04-21 17:52:28.043: epoch148 Q1:	0.8143	0.5508	0.6355	0.7306
2024-04-21 17:52:28.361: epoch149 Q1:	0.8144	0.5511	0.6357	0.7307
2024-04-21 17:52:28.678: epoch150 Q1:	0.8145	0.5514	0.6359	0.7308
2024-04-21 17:52:28.996: epoch151 Q1:	0.8147	0.5516	0.6363	0.7309
2024-04-21 17:52:29.414: epoch152 Q1:	0.8149	0.5519	0.6365	0.7312
2024-04-21 17:52:29.830: epoch153 Q1:	0.8149	0.5519	0.6365	0.7312
2024-04-21 17:52:30.246: epoch154 Q1:	0.8148	0.5515	0.6363	0.7311
2024-04-21 17:52:30.564: epoch155 Q1:	0.8148	0.5514	0.6362	0.7311
2024-04-21 17:52:30.882: epoch156 Q1:	0.8148	0.5515	0.6363	0.7311
2024-04-21 17:52:31.199: epoch157 Q1:	0.8146	0.5510	0.6358	0.7309
2024-04-21 17:52:31.519: epoch158 Q1:	0.8147	0.5512	0.6362	0.7309
2024-04-21 17:52:31.836: epoch159 Q1:	0.8146	0.5511	0.6360	0.7309
2024-04-21 17:52:32.153: epoch160 Q1:	0.8148	0.5513	0.6362	0.7314
2024-04-21 17:52:32.470: epoch161 Q1:	0.8149	0.5519	0.6364	0.7315
2024-04-21 17:52:32.891: epoch162 Q1:	0.8150	0.5522	0.6366	0.7316
2024-04-21 17:52:33.309: epoch163 Q1:	0.8151	0.5524	0.6369	0.7316
2024-04-21 17:52:33.726: epoch164 Q1:	0.8152	0.5526	0.6371	0.7317
2024-04-21 17:52:34.140: epoch165 Q1:	0.8152	0.5526	0.6371	0.7317
2024-04-21 17:52:34.549: epoch166 Q1:	0.8153	0.5528	0.6373	0.7318
2024-04-21 17:52:34.959: epoch167 Q1:	0.8153	0.5528	0.6373	0.7318
2024-04-21 17:52:35.373: epoch168 Q1:	0.8153	0.5525	0.6370	0.7320
2024-04-21 17:52:35.790: epoch169 Q1:	0.8153	0.5526	0.6371	0.7320
2024-04-21 17:52:36.205: epoch170 Q1:	0.8153	0.5526	0.6371	0.7320
2024-04-21 17:52:36.618: epoch171 Q1:	0.8153	0.5525	0.6370	0.7320
2024-04-21 17:52:37.032: epoch172 Q1:	0.8153	0.5526	0.6371	0.7320
2024-04-21 17:52:37.450: epoch173 Q1:	0.8153	0.5525	0.6370	0.7320
2024-04-21 17:52:37.869: epoch174 Q1:	0.8152	0.5523	0.6368	0.7319
2024-04-21 17:52:38.187: epoch175 Q1:	0.8150	0.5519	0.6364	0.7317
2024-04-21 17:52:38.505: epoch176 Q1:	0.8155	0.5527	0.6371	0.7327
2024-04-21 17:52:38.924: epoch177 Q1:	0.8155	0.5527	0.6371	0.7327
2024-04-21 17:52:39.337: epoch178 Q1:	0.8155	0.5527	0.6371	0.7327
2024-04-21 17:52:39.749: epoch179 Q1:	0.8157	0.5532	0.6376	0.7329
2024-04-21 17:52:40.157: epoch180 Q1:	0.8157	0.5532	0.6375	0.7329
2024-04-21 17:52:40.572: epoch181 Q1:	0.8156	0.5532	0.6374	0.7328
2024-04-21 17:52:40.889: epoch182 Q1:	0.8160	0.5538	0.6381	0.7332
2024-04-21 17:52:41.303: epoch183 Q1:	0.8160	0.5539	0.6381	0.7332
2024-04-21 17:52:41.719: epoch184 Q1:	0.8161	0.5542	0.6384	0.7333
2024-04-21 17:52:42.134: epoch185 Q1:	0.8160	0.5542	0.6383	0.7332
2024-04-21 17:52:42.453: epoch186 Q1:	0.8162	0.5546	0.6388	0.7333
2024-04-21 17:52:42.869: epoch187 Q1:	0.8162	0.5546	0.6388	0.7333
2024-04-21 17:52:43.286: epoch188 Q1:	0.8163	0.5549	0.6390	0.7336
2024-04-21 17:52:43.702: epoch189 Q1:	0.8165	0.5553	0.6395	0.7337
2024-04-21 17:52:44.114: epoch190 Q1:	0.8163	0.5551	0.6393	0.7335
2024-04-21 17:52:44.431: epoch191 Q1:	0.8165	0.5556	0.6398	0.7337
2024-04-21 17:52:44.845: epoch192 Q1:	0.8167	0.5560	0.6402	0.7338
2024-04-21 17:52:45.257: epoch193 Q1:	0.8171	0.5562	0.6411	0.7343
2024-04-21 17:52:45.669: epoch194 Q1:	0.8168	0.5558	0.6406	0.7339
2024-04-21 17:52:45.985: epoch195 Q1:	0.8169	0.5560	0.6408	0.7341
2024-04-21 17:52:46.304: epoch196 Q1:	0.8171	0.5564	0.6413	0.7343
2024-04-21 17:52:46.714: epoch197 Q1:	0.8169	0.5562	0.6410	0.7341
2024-04-21 17:52:47.032: epoch198 Q1:	0.8171	0.5567	0.6415	0.7343
2024-04-21 17:52:47.446: epoch199 Q1:	0.8170	0.5564	0.6413	0.7342
2024-04-21 17:52:47.764: epoch200 Q1:	0.8171	0.5566	0.6415	0.7344
