2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:03:55.973: epoch101 Q1:	0.7569	0.7548	0.6834	0.7421
2024-04-21 18:03:56.283: epoch102 Q1:	0.7566	0.7548	0.6834	0.7418
2024-04-21 18:03:56.594: epoch103 Q1:	0.7569	0.7551	0.6837	0.7421
2024-04-21 18:03:56.903: epoch104 Q1:	0.7575	0.7556	0.6842	0.7425
2024-04-21 18:03:57.279: epoch105 Q1:	0.7584	0.7555	0.6846	0.7429
2024-04-21 18:03:57.652: epoch106 Q1:	0.7568	0.7561	0.6842	0.7423
2024-04-21 18:03:57.962: epoch107 Q1:	0.7594	0.756	0.6849	0.7434
2024-04-21 18:03:58.339: epoch108 Q1:	0.7579	0.7568	0.6851	0.7432
2024-04-21 18:03:58.649: epoch109 Q1:	0.7599	0.7585	0.6871	0.7446
2024-04-21 18:03:59.023: epoch110 Q1:	0.7607	0.7571	0.6862	0.7446
2024-04-21 18:03:59.398: epoch111 Q1:	0.7598	0.7588	0.6868	0.7445
2024-04-21 18:03:59.707: epoch112 Q1:	0.7605	0.7587	0.6871	0.7449
2024-04-21 18:04:00.020: epoch113 Q1:	0.7613	0.7582	0.687	0.7449
2024-04-21 18:04:00.393: epoch114 Q1:	0.7612	0.7596	0.6875	0.7453
2024-04-21 18:04:00.702: epoch115 Q1:	0.761	0.7591	0.687	0.7451
2024-04-21 18:04:01.015: epoch116 Q1:	0.7629	0.7593	0.6882	0.7461
2024-04-21 18:04:01.391: epoch117 Q1:	0.7622	0.7598	0.688	0.7459
2024-04-21 18:04:01.702: epoch118 Q1:	0.7623	0.7598	0.6875	0.7455
2024-04-21 18:04:02.014: epoch119 Q1:	0.763	0.7596	0.6877	0.7461
2024-04-21 18:04:02.386: epoch120 Q1:	0.7631	0.7599	0.6879	0.7458
2024-04-21 18:04:02.762: epoch121 Q1:	0.763	0.76	0.6878	0.7459
2024-04-21 18:04:03.072: epoch122 Q1:	0.7641	0.7609	0.6886	0.7464
2024-04-21 18:04:03.446: epoch123 Q1:	0.7644	0.7612	0.689	0.7468
2024-04-21 18:04:03.823: epoch124 Q1:	0.7656	0.7618	0.6898	0.7474
